node,degree,degree_centrality,closeness_centrality,betweness_centrality,eigenvector_centrality,clustering
43,1,2.48E-04,0,0,-1.08E-18,0
44,6,1.49E-03,1.82E-03,0,-3.14E-18,1.00E+00
45,12,2.97E-03,1.50E-01,0,-2.96E-18,7.27E-01
46,5,1.24E-03,3.25E-03,0,3.76E-18,1.00E+00
47,2,4.95E-04,5.94E-04,0,-1.66E-18,1.00E+00
48,22,5.45E-03,1.80E-01,1.75E-04,1.39E-18,3.29E-01
49,4,9.91E-04,7.92E-04,0,2.27E-18,5.00E-01
50,11,2.72E-03,1.63E-01,0,-5.31E-19,5.64E-01
51,7,1.73E-03,4.28E-03,4.06E-07,2.50E-18,8.57E-01
52,2,4.95E-04,3.30E-04,0,1.24E-18,1.00E+00
53,31,7.68E-03,1.39E-01,5.59E-05,-4.38E-18,3.83E-01
54,8,1.98E-03,1.63E-01,2.61E-04,-3.62E-18,5.71E-01
55,17,4.21E-03,1.51E-01,1.69E-08,4.05E-18,8.31E-01
56,78,1.93E-02,1.82E-01,3.57E-04,-4.25E-18,3.49E-01
57,15,3.71E-03,1.42E-01,3.30E-06,2.88E-19,5.24E-01
58,12,2.97E-03,3.54E-01,2.92E-05,2.54E-18,2.73E-01
59,19,4.71E-03,1.44E-01,1.79E-07,7.89E-19,7.78E-01
60,8,1.98E-03,6.16E-03,3.51E-08,7.15E-18,6.79E-01
61,3,7.43E-04,3.71E-04,6.13E-08,5.54E-18,6.67E-01
62,26,6.44E-03,1.50E-01,2.58E-06,2.74E-18,5.23E-01
63,6,1.49E-03,4.45E-03,0,4.91E-18,1.00E+00
64,7,1.73E-03,1.75E-01,0,2.21E-18,9.52E-01
65,12,2.97E-03,1.38E-01,5.39E-05,1.03E-18,5.00E-01
66,15,3.71E-03,1.50E-01,2.22E-08,2.64E-18,8.76E-01
67,76,1.88E-02,1.81E-01,1.10E-03,5.12E-18,3.61E-01
68,9,2.23E-03,3.70E-03,0,-8.97E-20,8.33E-01
69,10,2.48E-03,1.37E-01,1.27E-06,1.98E-19,6.44E-01
70,2,4.95E-04,4.46E-04,0,-1.26E-18,1.00E+00
71,3,7.43E-04,5.57E-04,0,1.82E-18,1.00E+00
72,24,5.94E-03,1.43E-01,1.04E-06,6.19E-18,6.05E-01
73,10,2.48E-03,7.88E-03,5.07E-07,5.31E-19,5.33E-01
74,1,2.48E-04,0,0,-1.58E-18,0
75,14,3.47E-03,8.60E-03,1.12E-06,1.78E-18,7.58E-01
76,3,7.43E-04,2.48E-04,0,3.95E-18,1.00E+00
77,6,1.49E-03,3.99E-03,5.93E-07,-1.42E-18,6.00E-01
78,9,2.23E-03,1.73E-03,0,-9.40E-19,1.00E+00
79,12,2.97E-03,1.63E-01,9.74E-09,3.79E-18,9.39E-01
80,23,5.70E-03,1.68E-01,6.03E-04,-6.55E-18,5.22E-01
81,3,7.43E-04,5.66E-04,0,3.17E-18,6.67E-01
82,34,8.42E-03,1.64E-01,7.04E-04,1.86E-18,4.17E-01
83,7,1.73E-03,4.15E-03,4.06E-07,8.86E-18,8.57E-01
84,13,3.22E-03,5.75E-03,8.39E-06,4.61E-18,4.23E-01
85,14,3.47E-03,8.40E-03,2.99E-07,-4.26E-18,6.48E-01
86,6,1.49E-03,3.16E-03,0,5.10E-19,1.00E+00
87,13,3.22E-03,7.59E-02,7.58E-05,-1.98E-19,6.41E-01
88,20,4.95E-03,9.96E-03,1.41E-05,-2.99E-18,3.37E-01
89,8,1.98E-03,1.24E-03,4.50E-07,1.38E-18,6.79E-01
90,2,4.95E-04,2.48E-04,0,-1.34E-18,1.00E+00
91,8,1.98E-03,1.49E-03,0,4.60E-18,6.79E-01
92,21,5.20E-03,6.27E-03,6.81E-07,-3.07E-18,7.76E-01
93,8,1.98E-03,2.18E-03,2.45E-07,-1.78E-18,8.57E-01
94,22,5.45E-03,6.29E-03,2.68E-06,2.56E-18,6.67E-01
95,6,1.49E-03,7.92E-04,2.04E-08,5.54E-18,8.67E-01
96,9,2.23E-03,7.83E-03,8.71E-07,-3.23E-18,3.89E-01
97,3,7.43E-04,6.60E-04,0,1.41E-19,6.67E-01
98,49,1.21E-02,1.71E-01,2.75E-04,3.33E-19,5.25E-01
99,13,3.22E-03,3.65E-03,4.40E-07,6.38E-18,6.41E-01
100,9,2.23E-03,1.77E-01,2.85E-05,3.56E-18,6.11E-01
101,19,4.71E-03,5.90E-03,3.27E-07,6.08E-19,8.30E-01
102,6,1.49E-03,3.14E-03,0,-2.05E-18,1.00E+00
103,16,3.96E-03,7.65E-02,9.17E-05,5.20E-18,5.50E-01
104,32,7.92E-03,1.49E-01,1.28E-06,8.98E-18,6.09E-01
105,14,3.47E-03,1.63E-01,2.11E-04,1.05E-18,6.70E-01
106,8,1.98E-03,5.70E-03,1.29E-06,-7.81E-19,4.29E-01
107,1045,2.59E-01,4.22E-01,2.43E-04,-9.63E-19,4.90E-02
108,13,3.22E-03,6.16E-03,3.70E-06,-3.79E-18,7.95E-01
109,37,9.16E-03,1.71E-01,2.00E-04,8.26E-18,5.30E-01
110,5,1.24E-03,4.95E-04,0,-1.47E-18,1.00E+00
111,14,3.47E-03,2.37E-03,2.14E-06,2.14E-18,5.60E-01
112,3,7.43E-04,3.30E-04,0,1.43E-18,1.00E+00
113,40,9.91E-03,1.71E-01,4.11E-04,2.53E-18,5.37E-01
114,1,2.48E-04,0,0,5.47E-19,0
115,21,5.20E-03,3.97E-03,2.73E-06,-7.02E-18,5.33E-01
116,17,4.21E-03,2.39E-03,9.81E-07,5.55E-18,6.62E-01
117,6,1.49E-03,4.20E-03,6.59E-07,6.34E-18,4.67E-01
118,36,8.92E-03,1.03E-02,5.89E-06,2.35E-18,5.37E-01
119,62,1.54E-02,2.00E-01,6.36E-03,-2.87E-20,2.87E-01
120,4,9.91E-04,7.39E-02,0,-2.55E-18,5.00E-01
121,12,2.97E-03,6.59E-03,2.52E-06,3.62E-18,4.70E-01
122,63,1.56E-02,1.54E-01,9.95E-04,6.99E-19,3.86E-01
123,18,4.46E-03,9.24E-03,4.80E-07,5.30E-18,6.93E-01
124,4,9.91E-04,7.10E-03,3.33E-06,5.28E-18,5.00E-01
125,4,9.91E-04,7.42E-02,3.14E-04,-4.64E-20,6.67E-01
126,7,1.73E-03,1.30E-03,4.43E-07,2.54E-18,7.62E-01
127,16,3.96E-03,6.14E-03,2.93E-06,3.23E-18,7.33E-01
128,28,6.93E-03,1.55E-01,3.73E-04,5.68E-19,5.95E-01
129,7,1.73E-03,2.74E-03,1.68E-08,4.07E-18,9.05E-01
130,16,3.96E-03,7.22E-03,5.23E-06,2.45E-18,3.58E-01
131,7,1.73E-03,2.60E-03,0,1.59E-18,1.00E+00
132,16,3.96E-03,8.40E-03,7.47E-06,3.41E-18,4.00E-01
133,18,4.46E-03,7.80E-03,2.84E-06,2.09E-18,5.88E-01
134,19,4.71E-03,9.33E-03,4.29E-06,6.66E-18,7.08E-01
135,10,2.48E-03,2.97E-03,0,3.42E-18,1.00E+00
136,133,3.29E-02,1.10E-01,2.27E-03,1.09E-17,3.21E-01
137,16,3.96E-03,2.48E-03,3.46E-06,5.75E-18,5.33E-01
138,2,4.95E-04,0,0,1.30E-18,1.00E+00
139,9,2.23E-03,5.57E-03,0,4.75E-18,9.72E-01
140,11,2.72E-03,1.86E-03,1.56E-06,5.98E-18,8.91E-01
141,28,6.93E-03,8.55E-03,5.41E-06,1.70E-18,5.56E-01
142,43,1.06E-02,1.11E-02,9.18E-06,9.19E-18,5.30E-01
143,12,2.97E-03,3.19E-03,4.44E-06,2.41E-18,6.06E-01
144,15,3.71E-03,1.65E-03,2.36E-06,-4.15E-19,7.05E-01
145,2,4.95E-04,2.48E-04,0,1.54E-18,1.00E+00
146,10,2.48E-03,5.72E-03,2.81E-06,-4.38E-18,4.67E-01
147,6,1.49E-03,5.57E-04,6.13E-08,9.22E-18,9.33E-01
148,20,4.95E-03,7.08E-03,6.17E-06,-1.39E-18,4.21E-01
149,14,3.47E-03,1.49E-03,6.93E-07,-3.64E-18,7.80E-01
150,11,2.72E-03,1.83E-01,6.37E-04,-1.35E-18,5.64E-01
151,7,1.73E-03,7.74E-04,4.91E-07,6.81E-18,9.05E-01
152,5,1.24E-03,1.46E-03,1.84E-07,1.29E-18,7.00E-01
153,2,4.95E-04,2.07E-03,0,1.11E-18,1.00E+00
154,2,4.95E-04,3.71E-04,0,3.28E-18,1.00E+00
155,3,7.43E-04,2.48E-04,3.07E-08,1.55E-19,6.67E-01
156,12,2.97E-03,6.12E-03,2.92E-06,3.89E-18,5.30E-01
157,3,7.43E-04,0,0,3.59E-18,6.67E-01
158,25,6.19E-03,6.41E-03,1.17E-05,3.97E-18,3.57E-01
159,14,3.47E-03,7.44E-03,1.13E-05,1.10E-17,6.26E-01
160,2,4.95E-04,9.99E-04,0,-1.41E-18,1.00E+00
161,25,6.19E-03,8.93E-03,4.95E-06,7.59E-18,5.47E-01
162,8,1.98E-03,9.91E-04,2.56E-08,1.54E-19,8.57E-01
163,6,1.49E-03,1.63E-01,3.69E-03,-5.87E-18,5.33E-01
164,3,7.43E-04,2.07E-03,5.52E-08,4.13E-18,6.67E-01
165,11,2.72E-03,6.70E-03,1.33E-06,-1.20E-18,6.00E-01
166,4,9.91E-04,1.61E-01,0,3.24E-18,6.67E-01
167,7,1.73E-03,8.10E-04,6.13E-08,-1.71E-19,9.05E-01
168,11,2.72E-03,3.48E-03,1.50E-06,1.37E-19,6.91E-01
169,38,9.41E-03,7.22E-03,1.31E-05,1.69E-17,4.40E-01
170,46,1.14E-02,1.02E-02,2.25E-05,3.64E-18,4.71E-01
171,22,5.45E-03,1.62E-01,3.26E-03,-3.36E-18,2.16E-01
172,41,1.02E-02,8.56E-03,1.71E-05,1.44E-17,4.60E-01
173,12,2.97E-03,1.99E-01,4.84E-03,-1.61E-18,2.42E-01
174,4,9.91E-04,2.48E-04,6.13E-08,3.39E-18,8.33E-01
175,17,4.21E-03,4.29E-03,2.09E-05,5.19E-18,4.26E-01
176,14,3.47E-03,6.26E-03,9.57E-07,4.49E-18,7.25E-01
177,11,2.72E-03,8.84E-04,5.11E-08,-1.63E-18,7.64E-01
178,13,3.22E-03,8.60E-03,2.77E-06,5.27E-19,4.62E-01
179,3,7.43E-04,0,0,3.14E-18,6.67E-01
180,20,4.95E-03,5.67E-03,7.59E-07,1.98E-18,7.58E-01
181,10,2.48E-03,1.49E-03,2.45E-07,2.75E-18,8.67E-01
182,3,7.43E-04,2.48E-04,3.07E-08,2.84E-18,6.67E-01
183,2,4.95E-04,0,0,-1.02E-18,1.00E+00
184,18,4.46E-03,3.80E-03,2.40E-06,5.23E-18,6.34E-01
185,26,6.44E-03,7.35E-03,8.13E-06,-1.54E-18,5.38E-01
186,44,1.09E-02,1.05E-02,2.24E-05,3.66E-18,4.98E-01
187,16,3.96E-03,4.61E-03,2.21E-07,-1.61E-18,8.58E-01
188,48,1.19E-02,8.47E-03,1.78E-05,3.29E-19,4.56E-01
189,7,1.73E-03,5.94E-04,0,-1.10E-17,9.52E-01
190,4,9.91E-04,4.42E-04,1.66E-07,4.59E-18,5.00E-01
191,3,7.43E-04,0,0,-1.61E-18,1.00E+00
192,5,1.24E-03,2.48E-04,6.13E-07,4.58E-18,4.00E-01
193,5,1.24E-03,3.30E-04,1.23E-07,1.06E-19,7.00E-01
194,19,4.71E-03,5.39E-03,2.61E-06,-3.76E-18,8.25E-01
195,9,2.23E-03,1.24E-03,0,8.85E-18,1.00E+00
196,13,3.22E-03,5.37E-03,4.19E-06,-9.95E-19,7.18E-01
197,16,3.96E-03,3.61E-03,1.59E-06,9.61E-18,7.42E-01
198,12,2.97E-03,1.95E-01,7.40E-05,2.46E-18,4.70E-01
199,47,1.16E-02,9.02E-03,2.11E-05,8.68E-18,4.72E-01
200,57,1.41E-02,8.30E-03,2.16E-05,1.44E-18,4.34E-01
201,4,9.91E-04,3.30E-04,0,2.41E-18,1.00E+00
202,4,9.91E-04,3.30E-04,3.99E-07,-4.80E-19,6.67E-01
203,57,1.41E-02,8.38E-03,2.18E-05,1.31E-17,4.29E-01
204,22,5.45E-03,6.69E-03,1.75E-05,-8.57E-19,5.89E-01
205,2,4.95E-04,0,0,-4.35E-19,1.00E+00
206,4,9.91E-04,9.99E-04,3.31E-07,9.35E-19,5.00E-01
207,3,7.43E-04,1.13E-03,0,4.24E-18,1.00E+00
208,7,1.73E-03,3.48E-03,4.71E-08,-1.66E-18,8.57E-01
209,1,2.48E-04,0,0,4.56E-18,0
210,1,2.48E-04,0,0,-2.46E-18,0
211,30,7.43E-03,7.16E-03,4.77E-06,6.73E-18,6.00E-01
212,18,4.46E-03,5.53E-03,8.47E-07,7.47E-18,6.99E-01
213,39,9.66E-03,8.50E-03,4.49E-05,7.12E-18,3.04E-01
214,17,4.21E-03,1.58E-03,3.17E-06,2.75E-18,5.66E-01
215,1,2.48E-04,0,0,-1.24E-18,0
216,2,4.95E-04,6.86E-04,0,-9.62E-19,1.00E+00
217,8,1.98E-03,6.88E-04,1.18E-06,-1.25E-17,8.21E-01
218,9,2.23E-03,9.91E-04,0,7.78E-18,1.00E+00
219,6,1.49E-03,3.30E-04,1.23E-07,5.91E-18,7.33E-01
220,4,9.91E-04,6.60E-04,0,-4.59E-18,1.00E+00
221,8,1.98E-03,2.31E-03,1.64E-08,2.23E-18,8.57E-01
222,11,2.72E-03,4.23E-03,5.60E-06,3.34E-19,7.45E-01
223,27,6.69E-03,5.82E-03,3.99E-06,1.52E-18,7.21E-01
224,28,6.93E-03,6.19E-03,6.69E-06,4.08E-18,5.21E-01
225,10,2.48E-03,6.60E-04,1.02E-08,-2.78E-18,8.44E-01
226,14,3.47E-03,9.91E-04,1.71E-07,3.05E-19,8.13E-01
227,15,3.71E-03,7.43E-04,8.38E-07,3.65E-18,5.43E-01
228,3,7.43E-04,2.48E-04,0,-1.55E-18,1.00E+00
229,6,1.49E-03,4.40E-04,4.12E-07,-2.03E-18,5.33E-01
230,9,2.23E-03,4.95E-04,2.36E-06,1.30E-17,2.78E-01
231,21,5.20E-03,5.16E-03,5.65E-06,3.81E-18,4.52E-01
232,25,6.19E-03,5.29E-03,3.32E-06,6.28E-18,6.20E-01
233,2,4.95E-04,2.48E-04,0,3.07E-18,1.00E+00
234,2,4.95E-04,4.33E-03,0,3.55E-18,1.00E+00
235,5,1.24E-03,0,0,2.80E-18,8.00E-01
236,37,9.16E-03,6.56E-03,2.00E-05,6.90E-18,4.10E-01
237,7,1.73E-03,0,0,1.46E-17,8.57E-01
238,23,5.70E-03,5.63E-03,3.80E-06,7.99E-18,7.15E-01
239,59,1.46E-02,6.69E-03,2.94E-05,1.15E-17,4.18E-01
240,3,7.43E-04,0,0,3.39E-18,6.67E-01
241,2,4.95E-04,0,0,-8.35E-19,1.00E+00
242,24,5.94E-03,3.11E-03,1.53E-05,-1.83E-18,5.98E-01
243,8,1.98E-03,8.84E-04,4.91E-07,2.38E-18,6.43E-01
244,2,4.95E-04,2.48E-04,0,3.98E-18,1.00E+00
245,5,1.24E-03,3.30E-04,1.23E-07,2.63E-18,7.00E-01
246,14,3.47E-03,3.07E-03,4.98E-07,7.91E-19,5.93E-01
247,3,7.43E-04,0,0,5.78E-18,6.67E-01
248,21,5.20E-03,5.05E-03,3.57E-06,5.01E-18,5.05E-01
249,24,5.94E-03,3.42E-03,1.39E-05,-7.30E-18,6.27E-01
250,5,1.24E-03,4.48E-03,1.02E-08,6.79E-18,8.00E-01
251,14,3.47E-03,1.10E-03,6.91E-07,1.03E-17,7.80E-01
252,65,1.61E-02,6.73E-03,1.85E-05,1.71E-17,4.03E-01
253,3,7.43E-04,0,0,-1.81E-18,6.67E-01
254,17,4.21E-03,1.83E-03,2.96E-07,3.36E-18,9.04E-01
255,2,4.95E-04,0,0,4.75E-19,1.00E+00
256,2,4.95E-04,0,0,-2.17E-18,1.00E+00
257,18,4.46E-03,4.53E-03,4.72E-06,5.92E-18,5.03E-01
258,15,3.71E-03,3.61E-03,6.22E-07,1.53E-18,4.86E-01
259,8,1.98E-03,2.48E-04,3.07E-07,4.01E-18,6.79E-01
260,8,1.98E-03,1.30E-03,1.40E-06,-1.67E-20,3.93E-01
261,38,9.41E-03,4.91E-03,7.73E-06,1.39E-17,4.75E-01
262,4,9.91E-04,4.46E-04,0,8.11E-19,1.00E+00
263,7,1.73E-03,2.48E-04,0,6.11E-19,9.52E-01
264,5,1.24E-03,0,0,6.42E-18,1.00E+00
265,27,6.69E-03,4.31E-03,4.08E-06,1.80E-17,6.41E-01
266,18,4.46E-03,1.35E-03,8.72E-08,-3.73E-18,8.82E-01
267,2,4.95E-04,0,0,5.13E-18,1.00E+00
268,11,2.72E-03,3.88E-03,1.02E-08,4.84E-18,9.09E-01
269,6,1.49E-03,3.30E-04,2.66E-07,-5.48E-18,4.67E-01
270,4,9.91E-04,0,0,4.09E-18,8.33E-01
271,73,1.81E-02,5.98E-03,2.91E-05,2.94E-17,3.87E-01
272,45,1.11E-02,4.67E-03,4.26E-05,1.43E-17,3.54E-01
273,9,2.23E-03,7.43E-04,0,6.43E-18,1.00E+00
274,14,3.47E-03,5.57E-04,1.57E-07,5.12E-18,5.60E-01
275,10,2.48E-03,4.95E-04,6.13E-08,5.09E-18,8.67E-01
276,18,4.46E-03,1.13E-03,1.00E-07,2.18E-17,7.52E-01
277,65,1.61E-02,4.96E-03,5.56E-05,2.14E-17,3.47E-01
278,10,2.48E-03,0,0,-2.13E-19,8.00E-01
279,2,4.95E-04,0,0,3.81E-18,1.00E+00
280,43,1.06E-02,3.03E-03,7.37E-06,1.82E-17,4.67E-01
281,16,3.96E-03,8.92E-04,1.16E-05,2.94E-17,7.42E-01
282,2,4.95E-04,0,0,1.18E-18,1.00E+00
283,5,1.24E-03,0,0,-3.35E-18,6.00E-01
284,16,3.96E-03,8.84E-04,9.81E-07,1.91E-17,7.00E-01
285,47,1.16E-02,3.03E-03,1.48E-05,1.91E-17,4.33E-01
286,2,4.95E-04,0,0,-3.95E-18,1.00E+00
287,1,2.48E-04,0,0,-1.53E-19,0
288,4,9.91E-04,1.35E-03,2.27E-09,-2.47E-18,8.33E-01
289,4,9.91E-04,0,0,5.54E-18,8.33E-01
290,14,3.47E-03,1.30E-03,1.54E-07,7.27E-18,8.24E-01
291,36,8.92E-03,1.67E-03,3.11E-06,1.08E-17,3.81E-01
292,1,2.48E-04,0,0,1.40E-18,0
293,3,7.43E-04,0,0,3.70E-18,1.00E+00
294,3,7.43E-04,0,0,7.96E-18,6.67E-01
295,10,2.48E-03,0,0,1.54E-18,5.33E-01
296,7,1.73E-03,0,0,-1.05E-18,9.52E-01
297,25,6.19E-03,1.62E-03,1.22E-06,9.33E-18,7.20E-01
298,11,2.72E-03,0,0,1.21E-17,9.45E-01
299,20,4.95E-03,1.60E-03,5.06E-06,-2.82E-18,6.84E-01
300,7,1.73E-03,5.66E-04,8.80E-07,2.40E-18,7.62E-01
301,3,7.43E-04,6.88E-04,3.07E-07,-7.95E-19,6.67E-01
302,20,4.95E-03,1.69E-03,3.09E-06,-1.11E-17,7.53E-01
303,21,5.20E-03,1.55E-03,4.02E-07,9.16E-18,5.81E-01
304,55,1.36E-02,2.86E-03,2.18E-05,2.58E-17,3.87E-01
305,2,4.95E-04,4.46E-04,0,3.62E-18,1.00E+00
306,9,2.23E-03,2.48E-04,0,1.25E-17,1.00E+00
307,4,9.91E-04,0,0,4.80E-18,6.67E-01
308,24,5.94E-03,1.70E-03,4.84E-06,-2.38E-18,4.75E-01
309,10,2.48E-03,4.95E-04,0,8.51E-18,1.00E+00
310,13,3.22E-03,2.48E-04,3.83E-07,1.53E-18,5.38E-01
311,7,1.73E-03,5.57E-04,2.55E-06,9.66E-18,5.24E-01
312,26,6.44E-03,4.95E-04,9.70E-07,1.02E-17,4.28E-01
313,37,9.16E-03,1.99E-03,5.85E-06,2.97E-17,5.02E-01
314,13,3.22E-03,2.48E-04,1.25E-07,8.57E-18,4.23E-01
315,56,1.39E-02,1.98E-03,1.44E-05,4.62E-17,3.16E-01
316,2,4.95E-04,0,0,-2.12E-18,1.00E+00
317,7,1.73E-03,0,0,-4.33E-19,5.24E-01
318,11,2.72E-03,4.40E-04,2.60E-07,1.65E-19,5.27E-01
319,8,1.98E-03,2.48E-04,2.66E-07,8.82E-18,6.79E-01
320,21,5.20E-03,5.57E-04,1.04E-06,2.60E-17,4.81E-01
321,3,7.43E-04,0,0,-2.40E-18,1.00E+00
322,72,1.78E-02,1.67E-03,1.55E-05,3.79E-17,2.92E-01
323,39,9.66E-03,4.95E-04,2.46E-06,3.89E-17,4.84E-01
324,26,6.44E-03,9.91E-04,1.08E-05,2.04E-17,3.66E-01
325,39,9.66E-03,2.48E-04,3.09E-07,4.10E-17,6.02E-01
326,19,4.71E-03,2.48E-04,6.56E-08,1.25E-18,6.67E-01
327,4,9.91E-04,0,0,-3.05E-19,1.00E+00
328,9,2.23E-03,0,0,8.91E-18,1.00E+00
329,30,7.43E-03,2.48E-04,1.83E-06,3.76E-17,2.25E-01
330,16,3.96E-03,2.48E-04,1.00E-08,-5.51E-18,8.25E-01
331,20,4.95E-03,2.48E-04,1.46E-07,1.02E-17,5.26E-01
332,43,1.06E-02,0,0,5.84E-17,4.21E-01
333,8,1.98E-03,2.48E-04,0,-1.55E-18,7.86E-01
334,28,6.93E-03,4.46E-04,1.31E-06,1.95E-17,5.11E-01
335,1,2.48E-04,0,0,4.42E-18,0
336,3,7.43E-04,0,0,7.23E-18,1.00E+00
337,9,2.23E-03,0,0,2.47E-18,8.06E-01
338,7,1.73E-03,0,0,6.99E-18,6.67E-01
339,27,6.69E-03,4.95E-04,8.88E-06,2.52E-17,2.59E-01
340,6,1.49E-03,0,0,5.33E-18,7.33E-01
341,12,2.97E-03,0,0,1.95E-17,7.73E-01
342,34,8.42E-03,0,0,4.13E-17,5.78E-01
343,18,4.46E-03,0,0,1.08E-17,6.34E-01
344,9,2.23E-03,0,0,6.62E-18,5.00E-01
345,16,3.96E-03,0,0,2.19E-17,6.50E-01
346,27,6.69E-03,0,0,-2.96E-18,5.30E-01
347,7,1.73E-03,0,0,1.16E-17,8.10E-01
348,229,5.67E-02,2.55E-01,2.86E-03,-4.34E-18,1.23E-01
349,5,1.24E-03,1.58E-01,0,-2.98E-18,9.00E-01
350,21,5.20E-03,2.19E-01,0,-3.79E-18,3.95E-01
351,5,1.24E-03,1.22E-03,6.34E-08,-3.22E-18,8.00E-01
352,23,5.70E-03,2.06E-01,0,-3.61E-18,7.71E-01
353,102,2.53E-02,2.47E-01,2.27E-05,-2.93E-18,3.17E-01
354,26,6.44E-03,1.91E-01,0,1.38E-18,6.40E-01
355,39,9.66E-03,1.93E-01,1.01E-06,1.31E-19,4.78E-01
356,3,7.43E-04,1.13E-01,0,-9.39E-19,6.67E-01
357,18,4.46E-03,2.01E-01,0,-9.91E-19,7.71E-01
358,1,2.48E-04,0,0,1.57E-18,0
359,26,6.44E-03,1.92E-01,1.05E-06,-4.64E-18,5.42E-01
360,43,1.06E-02,2.14E-01,0,-2.65E-18,5.28E-01
361,23,5.70E-03,1.91E-01,4.14E-07,-9.70E-19,6.32E-01
362,19,4.71E-03,1.90E-01,1.38E-07,2.49E-18,5.50E-01
363,96,2.38E-02,2.21E-01,1.62E-05,-7.70E-20,3.20E-01
364,9,2.23E-03,1.49E-03,3.07E-07,-5.62E-18,8.06E-01
365,6,1.49E-03,1.85E-01,2.87E-08,-5.81E-19,7.33E-01
366,97,2.40E-02,2.33E-01,1.84E-05,-3.62E-18,3.35E-01
367,32,7.92E-03,1.98E-01,5.51E-06,-2.87E-18,4.74E-01
368,34,8.42E-03,2.08E-01,3.48E-06,4.18E-18,5.88E-01
369,26,6.44E-03,2.04E-01,9.37E-06,-6.77E-19,4.62E-01
370,71,1.76E-02,2.24E-01,9.49E-06,3.75E-18,4.69E-01
371,5,1.24E-03,1.65E-01,2.06E-08,2.12E-18,7.00E-01
372,17,4.21E-03,1.70E-01,0,-1.68E-18,4.26E-01
373,94,2.33E-02,2.27E-01,9.39E-05,-1.35E-18,3.84E-01
374,68,1.68E-02,2.42E-01,2.35E-05,8.69E-19,4.98E-01
375,17,4.21E-03,2.05E-01,8.13E-07,4.01E-18,9.26E-01
376,133,3.29E-02,2.46E-01,3.68E-04,-3.46E-18,2.63E-01
377,2,4.95E-04,1.39E-01,0,-2.80E-18,1.00E+00
378,62,1.54E-02,2.28E-01,6.92E-05,-7.67E-20,5.26E-01
379,2,4.95E-04,3.30E-04,0,-1.42E-18,1.00E+00
380,11,2.72E-03,1.64E-01,8.76E-09,-3.46E-18,9.45E-01
